N wide_area wide_rel_err tight_area tight_rel_err
100 1.26000000 0.33401490 1.16665631 0.23518802
600 0.82500000 0.12653786 0.85878868 0.09076437
1100 0.94090909 0.00382004 0.96337529 0.01996587
1600 0.98437500 0.04219914 0.89929758 0.04787590
2100 0.88285714 0.06528208 0.91202894 0.03439667
2600 0.94153846 0.00315370 0.87499224 0.07360898
3100 0.97548387 0.03278573 0.93771569 0.00720103
3600 0.92250000 0.02331052 0.92630351 0.01928358
4100 0.99658537 0.05512677 0.89396226 0.05352463
4600 0.98804348 0.04608311 0.97221360 0.02932335
5100 0.91411765 0.03218527 0.93218127 0.01306055
5600 0.96910714 0.02603442 1.00519941 0.06424682
6100 0.97081967 0.02784755 0.94033774 0.00442495
6600 0.85772727 0.09188812 0.91771071 0.02838114
7100 0.96464789 0.02131322 0.97906017 0.03657211
7600 0.89644737 0.05089353 0.94407057 0.00047285
8100 0.97555556 0.03286163 0.97101333 0.02805258
8600 0.92825581 0.01721660 0.87047031 0.07839653
9100 0.98109890 0.03873060 0.93482076 0.01026601
9600 0.93750000 0.00742939 0.95195915 0.00787912
10100 0.96861386 0.02551216 0.94429855 0.00023148
10600 0.92207547 0.02375999 0.93369192 0.01146116
11100 0.95513514 0.01124167 0.98272401 0.04045117
11600 0.92017241 0.02577483 0.95796564 0.01423844
12100 0.93347107 0.01169498 0.92480814 0.02086680
12600 0.97714286 0.03454217 0.96372602 0.02033720
13100 0.98450382 0.04233552 0.99076729 0.04896693
13600 0.92845588 0.01700478 0.92145833 0.02441338
14100 0.93702128 0.00793623 0.94463307 0.00012269
14600 0.95609589 0.01225886 0.96155920 0.01804310
15100 0.92741722 0.01810445 0.95289809 0.00887322
15600 0.96115385 0.01761393 0.93295112 0.01224548
16100 0.94639752 0.00199078 0.97764833 0.03507733
16600 0.96885542 0.02576791 0.92945962 0.01594207
17100 0.91894737 0.02707184 0.92900410 0.01642435
17600 0.93119318 0.01410668 0.94459389 0.00008121
18100 0.95718232 0.01340911 0.99155044 0.04979608
18600 0.96822581 0.02510131 0.99155333 0.04979914
19100 0.91837696 0.02767575 0.91724026 0.02887923
19600 0.93260204 0.01261506 0.94542812 0.00096444
